,id,escolas_postos,bairro,endereço,lat,lon,numero,tipo_da_escola
0,178,CENTRO INTEGRADO DE EDUCACAO PUBLICA HENFIL,CAJU,RUA CARLOS SEIDL,-22.88088,-43.22532,S/NO,CIEP
1,634,EM ALICE DO AMARAL PEIXOTO,BENFICA,RUA EBANO,-22.88957,-43.2362,187,EM
2,483,EM CELESTINO SILVA,CENTRO,"RUA DO LAVRADIO,",-22.90929,-43.18357,56,EM
3,476,ESCOLA MUNICIPAL FLORIANO PEIXOTO,SAO CRISTOVAO,PRACA ARGENTINA,-22.89762,-43.22745,20,EM
4,132,EM PEREIRA PASSOS,RIO COMPRIDO,PRACA CONDESSA PAULO DE FRONTIN,-22.92441,-43.20857,45,EM
5,017,E.M PRESIDENTE JOSE LINHARES,IPANEMA,"RUA BARAO DA TORRE,",-22.98333,-43.19903,90,EM
6,055,EM SANTA CATARINA,SANTA TERESA,RUA EDUARDO SANTOS,-22.91553,-43.19158,38,EM
7,490,E.M TIA CIATA,CENTRO,AVENIDA PRESIDENTE VARGAS,-22.90712,-43.19506,S/NO,EM
8,600,EM URUGUAI,BENFICA,RUA ANA NERI,-22.89848,-43.23775,192,EM
9,089,EM MARIO CLAUDIO,RIO COMPRIDO,"RUA HADDOCK LOBO,",-22.91723,-43.21104,148,EM
10,387,CIEP PRESIDENTE AGOSTINHO NETO,HUMAITA,RUA VISCONDE DE SILVA,-22.95916,-43.19972,S/NO,CIEP
11,331,CIEP TANCREDO NEVES,CATETE,RUA DO CATETE,-22.92278,-43.17668,77,CIEP
12,450,EM ALBERTO BARTH,FLAMENGO,AVENIDA OSWALDO CRUZ,-22.94071,-43.17647,124,EM
13,558,EM CICERO PENA,COPACABANA,"AVENIDA ATLANTICA,",-22.96864,-43.18113,1976,EM
14,413,EM COCIO BARCELOS,COPACABANA,"RUA BARAO DE IPANEMA,",-22.97482,-43.18906,34,EM
15,413,EM COCIO BARCELOS,COPACABANA,"RUA BARAO DE IPANEMA,",-22.74828,-43.18906,34,EM
16,540,EM HENRIQUE DODSWORTH,IPANEMA,AVENIDA EPITACIO PESSOA,-22.98195,-43.21357,474,EM
17,309,EM MEXICO,BOTAFOGO,RUA DA MATRIZ,-22.9527,-43.19176,67,EM
18,268,ESCOLA MUNICIPAL MINAS GERAIS,URCA,AVENIDA PASTEUR,-22.95382,-43.16888,433,EM
19,523,EM PRESIDENTE DA COSTA E SILVA,BOTAFOGO,"RUA ASSUNCAO,",-22.94555,-43.18659,257,EM
20,017,E.M PRESIDENTE JOSE LINHARES,IPANEMA,"RUA BARAO DA TORRE,",-22.98333,-43.19903,90,EM
21,035,EM SENADOR CORREA,LARANJEIRAS,RUA SEN.,-22.93398,-43.18101,CORREA,EM
22,011,CIEP SAMUEL WEINER,TIJUCA,"AV HEITOR BELTRAO,",-22.92127,-43.22799,S/NO,CIEP
23,226,EM AFRANIO PEIXOTO,ANDARAI,"RUA FERREIRA PONTES,",-22.92685,-43.25491,328,EM
24,638,E.M AZEVEDO SODRE,PRACA DA BANDEIRA,RUA BARAO DE UBA,-22.91544,-43.21109,331,EM
25,089,EM MARIO CLAUDIO,RIO COMPRIDO,"RUA HADDOCK LOBO,",-22.91723,-43.21104,148,EM
26,126,EM DUQUE DE CAXIAS,GRAJAU,"RUA MAL. JOFRE,",-22.91854,-43.26509,74,EM
27,180,ESCOLA MUNICIPAL EQUADOR,VILA ISABEL,"BOULEVARD 28 DE SETEMBRO,",-22.91615,-43.24704,353,EM
28,163,EM LAUDIMIA TROTTA,TIJUCA,"RUA ANTONIO BASILIO,",-22.92684,-43.23788,370,EM
29,361,EM PRUDENTE DE MORAES,TIJUCA,RUA ENES DE SOUSA,-22.92906,-43.23287,36,EM
30,280,ESCOLA MUNICIPAL GENERAL HUMBERTO DE SOUZA MELLO,MARACANA/ VILA ISABEL,"RUA OITO DE DEZEMBRO,",-22.90982,-43.23939,275,EM
31,060,ESCOLA MUNICIPAL BARAO HOMEM DE MELO,MARACANA/ TIJUCA,"RUA ALM. JOAO CANDIDO BRASIL,",-22.91682,-43.23692,352,EM
32,587,EM ALMIRANTE TAMANDARE,VIDIGAL,AVENIDA PRESIDENTE JOAO GOULART,-22.99369,-43.23557,296,EM
33,653,EM LUCIA MIGUEL PEREIRA,SAO CONRADO,RUA MARTAGAO GESTEIRA,-22.99741,-43.27218,S/NDEG,EM
